SNAPSHOT_DATE,SAIL_CODE,SHIP_CODE,PACKAGE_NAME,REGION,RATE_TYPE,SAIL_DAYS,DEPARTURE_DATE,CABIN_CATEGORY,PROMO_NAME,PROMO_TYPE,CURRENCY_CODE,FARE_PER_PERSON,PORT_TAXES_SERVICES,EXTRA_ADULT,EXTRA_CHILD,DISCOUNT
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,769,129,0,0,71
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",USD,989,149,659,269,89
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,849,129,569,239,81
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1379,209,919,379,127
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1249,209,0,0,111
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",USD,889,149,0,0,84
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",USD,889,149,0,0,84
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",USD,989,149,659,269,89
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251018,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Sat Oct 18 2025 01:00:00 GMT+0100 (British Summer Time),IC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",GBP,749,109,499,199,72
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,819,129,439,239,291
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),BA,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,969,129,0,0,361
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,819,129,439,239,291
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XBO,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1159,209,709,379,412
